datatime,itemcode,datagubun,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju,sejong
2020-07-08,SO2,일평균,0.003,0.003,0.002,0.003,0.002,0.003,0.005,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.003
2020-07-07,SO2,일평균,0.002,0.003,0.002,0.003,0.002,0.002,0.006,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.002
2020-07-06,SO2,일평균,0.003,0.003,0.002,0.003,0.004,0.002,0.005,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.002
2020-07-05,SO2,일평균,0.003,0.004,0.002,0.003,0.005,0.002,0.006,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.002
2020-07-04,SO2,일평균,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.001,0.002
2020-07-03,SO2,일평균,0.003,0.005,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.002
2020-07-02,SO2,일평균,0.003,0.004,0.002,0.004,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.003
2020-07-01,SO2,일평균,0.002,0.004,0.002,0.003,0.002,0.002,0.005,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.003
2020-06-30,SO2,일평균,0.002,0.003,0.002,0.003,0.002,0.002,0.004,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.002
2020-06-29,SO2,일평균,0.003,0.003,0.002,0.003,0.002,0.002,0.005,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003
2020-06-28,SO2,일평균,0.003,0.004,0.002,0.003,0.002,0.002,0.007,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.003
2020-06-27,SO2,일평균,0.003,0.004,0.002,0.004,0.003,0.002,0.007,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.003,0.002,0.003
2020-06-26,SO2,일평균,0.002,0.003,0.002,0.003,0.002,0.002,0.005,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.002
2020-06-25,SO2,일평균,0.002,0.003,0.002,0.003,0.002,0.002,0.004,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.003
2020-06-24,SO2,일평균,0.003,0.004,0.002,0.003,0.003,0.002,0.006,0.003,0.002,0.003,0.003,0.004,0.004,0.004,0.003,0.002,0.005
2020-06-23,SO2,일평균,0.003,0.004,0.002,0.004,0.003,0.002,0.006,0.004,0.002,0.004,0.004,0.003,0.004,0.004,0.003,0.002,0.005
2020-06-22,SO2,일평균,0.003,0.004,0.003,0.004,0.003,0.002,0.007,0.003,0.002,0.003,0.004,0.003,0.004,0.004,0.003,0.002,0.004
2020-06-21,SO2,일평균,0.003,0.004,0.004,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.004,0.003,0.001,0.003
2020-06-20,SO2,일평균,0.003,0.003,0.002,0.004,0.002,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.003
2020-06-19,SO2,일평균,0.003,0.004,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.001,0.003
2020-06-18,SO2,일평균,0.003,0.003,0.002,0.004,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.001,0.003
2020-06-17,SO2,일평균,0.004,0.004,0.002,0.005,0.002,0.002,0.009,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.001,0.003
2020-06-16,SO2,일평균,0.003,0.004,0.002,0.004,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.001,0.003
